security_id,action_sequence,action_type,announcement_date,effective_date,known_at,from_security_id,to_security_id,reverse_split_ratio,merger_exchange_ratio,cash_in_lieu_price_per_share,cash_per_share,cvr_terms,cvr_value_realized,distribution_per_share,source,verification_status
SEC-AKAO,1,bankruptcy_recovery,2019-04-15,PENDING_VERIFICATION,2019-04-15,SEC-AKAO,SEC-AKAO,,,,,,,0,"Chapter 11 filed Apr 15 2019 (D.Del); confirmed liquidation plan directed sale proceeds to secured/unsecured creditors, no distribution to common equity found. https://news.bloomberglaw.com/bankruptcy-law/biotech-achaogen-files-liquidation-plan-with-low-payouts ; https://www.sec.gov/Archives/edgar/data/1301501/000156459019012533/akao-8k_20190417.htm",verified
SEC-GNCA,1,bankruptcy_recovery,2022-07-05,PENDING_VERIFICATION,2022-07-05,SEC-GNCA,SEC-GNCA,,,,,,,0,"Chapter 11 filed Jul 5 2022, Case 1:22-BK-10938 (D.Mass, Judge Panos); confirmed liquidation plan cancelled common equity, proceeds to unsecured creditors only, no distribution to common found. https://unicourt.com/case/pc-bk5-genocea-biosciences-inc-1909412 ; https://www.marketscreener.com/quote/stock/GENOCEA-BIOSCIENCES-INC-58808477/news/Liquidation-Plan-Approved-for-Genocea-Biosciences-Inc-43934196/",verified
SEC-CNAT,1,reverse_split,2020-05-26,2020-05-26,2020-05-26,SEC-CNAT,SEC-CNAT,0.10,,,,,,,"Conatus 8-K filed 2020-05-27 (accession 0001193125-20-152366): 'the Company effected a reverse stock split ... at a ratio of 1-for-10 ... and also on May 26, 2020, immediately after completion of the Merger, the Company changed its name to Histogen Inc.' Directly confirmed from primary SEC filing (fetched with proper EDGAR User-Agent). https://www.sec.gov/Archives/edgar/data/1383701/000119312520152366/d925005d8k.htm",verified
SEC-CNAT,2,ticker_change,2020-05-26,2020-05-27,2020-05-27,SEC-CNAT,SEC-HSTO,,,,,,,,"Same 8-K as above: Conatus (CIK 0001383701) continued as the same legal entity, renamed Histogen Inc., began trading as HSTO May 27 2020. This is the surviving public shell -- CNAT holders' post-split shares simply continued trading under the new name/ticker; no separate merger exchange ratio applied to them. Chain not extended past HSTO in this pilot -- HSTO's later fate is out of scope.",verified
SEC-CEMP,1,reverse_split,2017-11-03,2017-11-03,2017-11-03,SEC-CEMP,SEC-CEMP,0.20,,,,,,,"Melinta (fka Cempra) 8-K filed 2017-11-03 (accession 0001193125-17-333062): 'after giving effect to a 5-to-1 reverse stock split effected immediately prior to the effective time of the Merger, each outstanding share of Melinta's common stock ... converted into the right to receive approximately 0.0229 shares of Company Common Stock.' The 5-to-1 split is Cempra's OWN shares (this row); the 0.0229 ratio is the separate exchange ratio for legacy private-Melinta holders (not applicable to CEMP holders -- do not conflate). Directly confirmed from primary SEC filing. https://www.sec.gov/Archives/edgar/data/1461993/000119312517333062/d474802d8k.htm",verified
SEC-CEMP,2,ticker_change,2017-08,2017-11-03,2017-11-03,SEC-CEMP,SEC-MLNT,,,,,,,,"Same 8-K: Cempra (CIK 0001461993) was the legal surviving/issuing entity, renamed Melinta Therapeutics Inc., began trading as MLNT Nov 6 2017. CEMP holders' split-adjusted shares continued as MLNT shares 1:1 -- no separate merger ratio applies to them beyond the reverse split in sequence 1.",verified
SEC-MLNT,1,bankruptcy_recovery,PENDING_VERIFICATION,2020-04-02,2020-03-13,SEC-MLNT,SEC-MLNT,,,,,,,0,"Melinta Therapeutics filed Chapter 11 Dec 2019 (exact day not confirmed this pass); plan confirmed by court Mar 13 2020 (known_at -- recovery amount became knowable at confirmation, not at the Dec 2019 filing), effective Apr 2 2020 (Deerfield debt-for-equity swap of ~$140M debt for 100% of new equity; unsecured creditors given a $3.5M trust). Consistent with $0 recovery for pre-petition common equity holders (i.e. original CEMP holders) -- no distribution to common found. https://www.fiercebiotech.com/biotech/melinta-files-for-bankruptcy-another-dark-day-for-antibiotics ; https://www.biospace.com/deerfield-wins-melinta-assets-after-chapter-11-bankruptcy",verified
SEC-ARRY,1,cash_merger,2019-06-17,PENDING_VERIFICATION,2019-06-17,SEC-ARRY,SEC-ARRY,,,,48.00,,,,"Pfizer tender offer for Array BioPharma, announced pre-market Jun 17 2019 at $48.00/share cash (~$11.4B). Tender offer expired Jul 29 2019 with ~77.0% of shares tendered; deal closed shortly after -- exact completion/effective date not confirmed this pass (flag PENDING). Cash-per-share figure is a confirmed deal term, not derived. https://www.pfizer.com/news/press-release/press-release-detail/pfizer_to_acquire_array_biopharma ; https://www.statnews.com/2019/06/17/pfizer-buys-array-biopharma-for-its-cancer-drug-chemistry/",verified
SEC-TBRA,1,cash_plus_cvr_merger,2016-09-20,PENDING_VERIFICATION,2016-09-20,SEC-TBRA,SEC-TBRA,,,,28.35,"1 non-transferable CVR/share, worth up to $49.84/share in contingent milestones (e.g. $13.68/CVR if first patient enrolled in a qualifying Phase 3 CVC cenicriviroc fibrosis trial by Dec 31 2028); CVR Agreement executed between Allergan Holdco and Computershare Trust Company N.A. Nov 1 2016.",,,"Allergan tender offer for Tobira Therapeutics, announced Sep 20 2016: $28.35/share cash + CVR (commenced Oct 3 2016, expired Oct 31 2016). Cash-per-share and max CVR value are confirmed deal terms; actual CVR realization (milestone hit/miss) is unresolved as of this pilot -- known_at left as the cash-leg announcement date since only that leg is knowable; the CVR realization itself has no known_at (None) because the milestone has not resolved/been disclosed. Do not assume $0 or max value. https://www.prnewswire.com/news-releases/allergan-to-acquire-tobira-therapeutics-expanding-global-gi-rd-pipeline-and-taking-a-leading-rd-position-in-nash-300330821.html ; https://www.sec.gov/Archives/edgar/data/0001311596/000119312516729446/d264761dsc14d9.htm",verified
SEC-AKRX,1,bankruptcy_recovery,2020-05-20,2020-10-01,2020-09-02,SEC-AKRX,SEC-AKRX,,,,,,,0.0,"Akorn Inc. Chapter 11 filed May 20 2020, Case 20-11177 (D.Del); court approved sale to term-loan lenders (100% credit bid converting debt to equity in new private entity) Sep 2 2020, consummated Oct 1 2020; existing common equity holders confirmed wiped out. https://www.prnewswire.com/news-releases/akorn-successfully-completes-sale-to-lenders-and-exits-chapter-11-protection-301144584.html ; https://seekingalpha.com/article/4350402-akorn-files-for-bankruptcy-protection-existing-equity-holders-will-almost-certainly-be-wiped",verified
